team,talent
Argentina,8.0826
Australia,6.9957
Belgium,8.0870
Brazil,8.1864
Cameroon,7.2176
Canada,7.0609
Croatia,7.6957
Denmark,7.7261
Ecuador,6.9550
England,8.3130
France,8.2261
Germany,8.2000
Ghana,7.2687
Iran,7.0429
Japan,7.3348
Mexico,7.6696
Morocco,7.5812
Netherlands,8.0217
Poland,7.4087
Portugal,8.1348
Saudi Arabia,6.6333
Senegal,7.4000
Serbia,7.6913
South Korea,7.0727
Spain,8.1087
Switzerland,7.6739
Tunisia,6.9818
United States,7.3435
Uruguay,7.8522
Wales,7.1652
